"include","ntips","type","par","estimate.mean","estimate.varriance","estimate.median","sim.mean","sim.varriance","sim.median","diff.mean","diff.varriance","diff.median"
"all",500,"l1","1|2_2|2",-2.941457e-01, 2.418365e+00,-5.077279e-02,-0.024915383, 0.339193877,-0.029273578,-0.2692303574, 1.9495949194,-0.0262430541
"all",100,"l2","1|2_2|2",-2.129532e+00, 1.240954e+01,-6.748096e-01,-0.024915383, 0.339193877,-0.029273578,-2.1046166220,12.1659498510,-0.5732652679
"all",250,"l2","1|2_2|2",-9.376967e-01, 5.349843e+00,-2.740529e-01,-0.024915383, 0.339193877,-0.029273578,-0.9127813267, 4.9673069303,-0.2505104824
"all",500,"l2","1|2_2|2",-4.095974e-01, 2.360017e+00,-1.363618e-01,-0.024915383, 0.339193877,-0.029273578,-0.3846819704, 1.9584580166,-0.1301783103
"all",100,"er","1|2|1_1|1|1",-1.719485e+00, 1.659092e+01, 7.364662e-02,-0.023632812, 0.256260063, 0.032010771,-1.6958519371,15.9467975092, 0.0438864171
"all",250,"er","1|2|1_1|1|1",-1.249776e+00, 1.080715e+01, 9.526481e-03,-0.023632812, 0.256260063, 0.032010771,-1.2261433223,10.1752016289, 0.0087110147
"all",500,"er","1|2|1_1|1|1",-7.775900e-01, 5.892867e+00,-5.061411e-02,-0.023632812, 0.256260063, 0.032010771,-0.7539571840, 5.4481737158, 0.0001941657
"all",100,"l0","1|2|1_1|1|1",-1.764895e+00, 1.630335e+01,-4.028379e-02,-0.023632812, 0.256260063, 0.032010771,-1.7412622998,15.6408545680,-0.0306870060
"all",250,"l0","1|2|1_1|1|1",-1.227544e+00, 1.082204e+01, 2.197615e-02,-0.023632812, 0.256260063, 0.032010771,-1.2039114254,10.2099692310, 0.0082200019
"all",500,"l0","1|2|1_1|1|1",-7.609722e-01, 6.048927e+00,-4.178247e-02,-0.023632812, 0.256260063, 0.032010771,-0.7373393953, 5.5727711373, 0.0165358479
"all",100,"l1","1|2|1_1|1|1",-2.643131e+00, 1.925118e+01,-3.188618e-01,-0.023632812, 0.256260063, 0.032010771,-2.6194981996,18.8389152534,-0.3306169631
"all",250,"l1","1|2|1_1|1|1",-1.519683e+00, 1.144949e+01,-8.652082e-02,-0.023632812, 0.256260063, 0.032010771,-1.4960505787,10.9055770253,-0.0978830776
"all",500,"l1","1|2|1_1|1|1",-8.869565e-01, 6.548506e+00,-8.796105e-02,-0.023632812, 0.256260063, 0.032010771,-0.8633236641, 6.1462830409,-0.0288250127
"all",100,"l2","1|2|1_1|1|1",-2.998448e+00, 1.732632e+01,-7.243141e-01,-0.023632812, 0.256260063, 0.032010771,-2.9748151183,17.1303653938,-0.7150331634
"all",250,"l2","1|2|1_1|1|1",-1.992708e+00, 1.221262e+01,-3.102013e-01,-0.023632812, 0.256260063, 0.032010771,-1.9690749442,11.6959288311,-0.3303225606
"all",500,"l2","1|2|1_1|1|1",-1.160765e+00, 7.200160e+00,-2.604203e-01,-0.023632812, 0.256260063, 0.032010771,-1.1371317361, 6.8868672268,-0.1952250988
"all",100,"er","1|2|1_1|2|2",-2.337480e+00, 1.717030e+01,-4.151784e-01,-0.017650454, 0.313103740,-0.029327250,-2.3198291839,16.5161880545,-0.3777606851
"all",250,"er","1|2|1_1|2|2",-1.602101e+00, 1.166625e+01,-1.604749e-01,-0.017650454, 0.313103740,-0.029327250,-1.5844502081,10.8770837325,-0.1327287563
"all",500,"er","1|2|1_1|2|2",-7.787010e-01, 6.240857e+00,-3.654213e-02,-0.017650454, 0.313103740,-0.029327250,-0.7610505844, 5.4897813880,-0.0462602384
"all",100,"l0","1|2|1_1|2|2",-2.418684e+00, 1.716702e+01,-5.356006e-01,-0.017650454, 0.313103740,-0.029327250,-2.4010331115,16.3961291810,-0.4368157686
"all",250,"l0","1|2|1_1|2|2",-1.551437e+00, 1.119023e+01,-1.344129e-01,-0.017650454, 0.313103740,-0.029327250,-1.5337862744,10.4757021754,-0.1413730585
"all",500,"l0","1|2|1_1|2|2",-7.822204e-01, 6.322728e+00,-3.441555e-02,-0.017650454, 0.313103740,-0.029327250,-0.7645699304, 5.5609955362,-0.0477191247
